user_id,segment_operation,order_count,total_amount,days_since_order,priority,estimated_response_rate,action
U002814,至尊VIP,1,6360.11,21,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002376,至尊VIP,1,5125.41,184,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007043,至尊VIP,1,5053.45,142,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004539,至尊VIP,1,5002.49,489,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005897,至尊VIP,2,4998.42,104,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003794,至尊VIP,1,4995.83,30,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004906,至尊VIP,2,4910.55,72,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000386,至尊VIP,1,4799.94,5,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006311,至尊VIP,2,4534.00,188,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000778,至尊VIP,1,4283.43,271,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002508,至尊VIP,1,4140.43,13,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006295,至尊VIP,1,4106.99,457,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009032,至尊VIP,2,4071.59,48,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003814,至尊VIP,1,3954.50,362,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005269,至尊VIP,2,3951.28,347,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002662,至尊VIP,1,3949.42,516,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005273,至尊VIP,1,3938.88,37,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003723,至尊VIP,1,3895.50,6,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004129,至尊VIP,1,3867.93,168,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008212,至尊VIP,1,3803.31,36,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005618,至尊VIP,2,3796.19,345,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006318,至尊VIP,1,3755.22,172,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006097,至尊VIP,1,3700.06,333,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000245,至尊VIP,1,3613.40,133,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004941,至尊VIP,1,3598.59,394,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004810,至尊VIP,1,3590.85,188,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001465,至尊VIP,1,3552.96,20,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003335,至尊VIP,1,3522.84,150,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004594,至尊VIP,2,3515.69,181,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004988,至尊VIP,2,3439.95,310,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006874,至尊VIP,2,3419.33,92,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001687,至尊VIP,1,3418.84,111,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005608,至尊VIP,2,3372.27,240,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002104,至尊VIP,2,3359.48,384,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002142,至尊VIP,1,3350.08,432,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004345,至尊VIP,1,3330.56,280,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006341,至尊VIP,1,3316.35,65,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006904,至尊VIP,2,3261.73,145,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008784,至尊VIP,2,3256.72,13,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000097,至尊VIP,2,3249.81,341,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008184,至尊VIP,2,3246.50,23,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000217,至尊VIP,2,3227.06,107,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007587,至尊VIP,2,3221.68,186,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007286,至尊VIP,2,3166.39,47,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003209,至尊VIP,2,3109.33,178,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009854,至尊VIP,1,3105.54,346,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004782,至尊VIP,1,3090.20,116,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007167,至尊VIP,1,3059.58,573,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005806,至尊VIP,1,3037.86,495,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004627,至尊VIP,1,3006.20,12,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000085,至尊VIP,1,3003.15,612,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000567,至尊VIP,2,2968.25,63,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001739,至尊VIP,1,2963.85,144,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000932,至尊VIP,1,2927.65,17,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007844,至尊VIP,2,2911.11,130,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004025,至尊VIP,1,2902.76,531,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008350,至尊VIP,1,2872.53,100,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000458,至尊VIP,1,2868.55,120,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004550,至尊VIP,1,2849.19,13,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002446,至尊VIP,1,2842.51,11,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004613,至尊VIP,2,2840.63,88,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005237,至尊VIP,2,2823.23,10,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006952,至尊VIP,1,2815.22,346,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002288,至尊VIP,1,2815.07,618,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004695,至尊VIP,1,2807.98,372,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009957,至尊VIP,1,2805.83,16,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007274,至尊VIP,1,2799.70,354,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009184,至尊VIP,1,2782.76,105,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009367,至尊VIP,1,2770.80,27,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007483,至尊VIP,1,2768.16,7,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007631,至尊VIP,1,2702.60,276,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007629,至尊VIP,1,2677.06,225,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000436,至尊VIP,1,2673.43,353,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003750,至尊VIP,1,2670.07,228,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007465,至尊VIP,2,2669.08,78,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003487,至尊VIP,1,2660.31,70,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002377,至尊VIP,2,2654.88,231,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008953,至尊VIP,1,2653.11,217,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008264,至尊VIP,1,2651.71,208,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004375,至尊VIP,3,2630.47,56,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008843,至尊VIP,1,2608.78,192,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005426,至尊VIP,2,2603.62,492,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003468,至尊VIP,1,2602.56,90,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002780,至尊VIP,1,2592.57,438,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000183,至尊VIP,2,2527.91,84,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000941,至尊VIP,1,2520.03,313,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000546,至尊VIP,1,2510.02,345,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006469,至尊VIP,1,2499.55,561,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009308,至尊VIP,1,2488.16,476,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000494,至尊VIP,1,2460.43,258,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009432,至尊VIP,2,2430.08,38,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006103,至尊VIP,1,2427.10,221,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006076,至尊VIP,1,2424.91,54,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006357,至尊VIP,1,2394.88,200,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009371,至尊VIP,1,2394.87,114,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003229,至尊VIP,1,2389.88,14,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005014,至尊VIP,1,2372.85,130,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002304,至尊VIP,1,2363.37,393,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003247,至尊VIP,3,2344.24,214,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006446,至尊VIP,1,2336.85,552,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005868,至尊VIP,1,2329.19,507,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000082,至尊VIP,1,2302.94,143,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007791,至尊VIP,1,2301.63,85,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009233,至尊VIP,1,2294.51,474,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005841,至尊VIP,2,2287.17,325,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008892,至尊VIP,1,2232.17,280,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001474,至尊VIP,1,2215.32,599,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004464,至尊VIP,1,2194.56,2,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003127,至尊VIP,1,2192.13,285,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008159,至尊VIP,2,2169.84,168,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001762,至尊VIP,1,2131.63,92,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001708,至尊VIP,1,2121.05,426,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003409,至尊VIP,2,2111.69,287,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009400,至尊VIP,1,2068.50,268,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007439,至尊VIP,1,2066.58,59,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002301,至尊VIP,1,2066.26,304,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008420,至尊VIP,1,2059.41,220,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003584,至尊VIP,1,2048.14,361,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009238,至尊VIP,1,2042.32,156,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001992,至尊VIP,1,2036.33,564,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000986,至尊VIP,1,2035.42,521,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009935,至尊VIP,2,2025.86,2,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005180,至尊VIP,1,2024.67,624,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001926,至尊VIP,1,2011.89,302,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007832,至尊VIP,1,2002.35,89,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008685,至尊VIP,1,1989.50,74,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008919,至尊VIP,1,1988.40,321,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004877,至尊VIP,1,1986.27,71,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006785,至尊VIP,3,1984.13,234,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009497,至尊VIP,3,1983.32,199,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003319,核心高价值忠诚用户,3,1796.36,45,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U008733,核心高价值忠诚用户,2,1683.65,40,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U002279,核心高价值忠诚用户,2,1557.22,59,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U008693,核心高价值忠诚用户,2,1549.69,57,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U004903,核心高价值忠诚用户,4,1529.12,17,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U003734,核心高价值忠诚用户,2,1517.51,45,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U002953,核心高价值忠诚用户,2,1437.97,11,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U005914,核心高价值忠诚用户,2,1426.37,23,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U004163,核心高价值忠诚用户,2,1288.88,1,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U001432,核心高价值忠诚用户,2,1273.86,50,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U004977,核心高价值忠诚用户,2,1218.99,29,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U008134,核心高价值忠诚用户,2,1202.20,5,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U000003,核心高价值忠诚用户,2,1126.73,25,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U000192,核心高价值忠诚用户,2,1057.24,18,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U009840,核心高价值忠诚用户,2,989.64,16,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U005060,核心高价值忠诚用户,2,923.61,44,0,0.35,P0-Groceries/Beauty复购券+会员升级+全品类满减
U006183,高潜新客,1,1947.49,14,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U000801,唤醒高潜,2,1941.45,90,1,0.15,P1-定向召回+限时折扣+30天有效
U001293,唤醒高潜,2,1918.04,152,1,0.15,P1-定向召回+限时折扣+30天有效
U006523,唤醒高潜,2,1913.18,75,1,0.15,P1-定向召回+限时折扣+30天有效
U004954,高潜新客,1,1904.76,42,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U004922,高潜新客,1,1896.22,9,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U002972,唤醒高潜,2,1831.72,171,1,0.15,P1-定向召回+限时折扣+30天有效
U000784,唤醒高潜,2,1684.54,169,1,0.15,P1-定向召回+限时折扣+30天有效
U001032,唤醒高潜,2,1680.87,173,1,0.15,P1-定向召回+限时折扣+30天有效
U004034,唤醒高潜,2,1660.86,126,1,0.15,P1-定向召回+限时折扣+30天有效
U001668,唤醒高潜,2,1655.58,169,1,0.15,P1-定向召回+限时折扣+30天有效
U005080,唤醒高潜,2,1638.39,75,1,0.15,P1-定向召回+限时折扣+30天有效
U001882,高潜新客,1,1621.54,49,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U001594,高潜新客,1,1613.29,53,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U004039,高潜新客,1,1599.25,50,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U003747,高潜新客,1,1581.11,46,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U008340,唤醒高潜,2,1569.55,156,1,0.15,P1-定向召回+限时折扣+30天有效
U000368,唤醒高潜,2,1536.08,67,1,0.15,P1-定向召回+限时折扣+30天有效
U008978,唤醒高潜,2,1528.87,96,1,0.15,P1-定向召回+限时折扣+30天有效
U001351,高潜新客,1,1528.09,18,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U002847,唤醒高潜,2,1509.71,142,1,0.15,P1-定向召回+限时折扣+30天有效
U001229,高潜新客,1,1504.20,34,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U001492,唤醒高潜,2,1501.77,113,1,0.15,P1-定向召回+限时折扣+30天有效
U002240,唤醒高潜,2,1498.36,163,1,0.15,P1-定向召回+限时折扣+30天有效
U001142,唤醒高潜,2,1487.39,68,1,0.15,P1-定向召回+限时折扣+30天有效
U006037,唤醒高潜,3,1483.10,138,1,0.15,P1-定向召回+限时折扣+30天有效
U005777,高潜新客,1,1478.43,1,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U004151,唤醒高潜,2,1445.60,153,1,0.15,P1-定向召回+限时折扣+30天有效
U001585,高潜新客,1,1444.97,15,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U001016,唤醒高潜,2,1435.36,155,1,0.15,P1-定向召回+限时折扣+30天有效
U006560,高潜新客,1,1426.95,29,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U001509,高潜新客,1,1424.27,6,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U002558,高潜新客,1,1421.63,44,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U005955,唤醒高潜,3,1419.53,117,1,0.15,P1-定向召回+限时折扣+30天有效
U005664,高潜新客,1,1413.41,38,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U003547,高潜新客,1,1403.84,21,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U006603,高潜新客,1,1403.65,53,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U007164,唤醒高潜,2,1395.29,123,1,0.15,P1-定向召回+限时折扣+30天有效
U001817,高潜新客,1,1378.17,56,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U008589,高潜新客,1,1364.43,46,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U009670,高潜新客,1,1356.44,27,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U003051,高潜新客,1,1348.97,56,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U004306,唤醒高潜,2,1341.89,127,1,0.15,P1-定向召回+限时折扣+30天有效
U008848,唤醒高潜,2,1337.60,65,1,0.15,P1-定向召回+限时折扣+30天有效
U009097,高潜新客,1,1287.95,47,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U007541,高潜新客,1,1269.75,35,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U005087,高潜新客,1,1266.34,32,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U009117,高潜新客,1,1246.26,18,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U000161,唤醒高潜,2,1239.37,76,1,0.15,P1-定向召回+限时折扣+30天有效
U007147,高潜新客,1,1239.31,36,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U009652,唤醒高潜,2,1230.30,107,1,0.15,P1-定向召回+限时折扣+30天有效
U001192,高潜新客,1,1212.47,9,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U004338,唤醒高潜,2,1205.16,144,1,0.15,P1-定向召回+限时折扣+30天有效
U004150,高潜新客,1,1187.64,52,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U000188,唤醒高潜,2,1185.99,67,1,0.15,P1-定向召回+限时折扣+30天有效
U009778,高潜新客,1,1184.69,37,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U005384,高潜新客,1,1177.50,1,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U009073,唤醒高潜,2,1174.71,152,1,0.15,P1-定向召回+限时折扣+30天有效
U009090,高潜新客,1,1172.24,36,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U006722,高潜新客,1,1170.13,56,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U007599,唤醒高潜,2,1142.65,120,1,0.15,P1-定向召回+限时折扣+30天有效
U004643,高潜新客,1,1134.93,30,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U001679,高潜新客,1,1114.47,7,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U008794,唤醒高潜,2,1095.40,108,1,0.15,P1-定向召回+限时折扣+30天有效
U008765,高潜新客,1,1093.37,52,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U004544,高潜新客,1,1088.04,13,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U009377,高潜新客,1,1080.46,2,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U003909,高潜新客,1,1077.36,15,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U009109,高潜新客,1,1072.83,53,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U008481,高潜新客,1,1072.76,58,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U005597,唤醒高潜,2,1067.36,143,1,0.15,P1-定向召回+限时折扣+30天有效
U003255,唤醒高潜,2,1057.37,78,1,0.15,P1-定向召回+限时折扣+30天有效
U006806,唤醒高潜,2,1055.18,72,1,0.15,P1-定向召回+限时折扣+30天有效
U001052,唤醒高潜,3,1045.75,87,1,0.15,P1-定向召回+限时折扣+30天有效
U002960,高潜新客,1,1042.53,52,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U004227,高潜新客,1,1026.27,29,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U004894,高潜新客,1,1022.32,4,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U004923,唤醒高潜,2,1020.68,63,1,0.15,P1-定向召回+限时折扣+30天有效
U002429,高潜新客,1,1007.48,49,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
U002704,高潜新客,1,999.12,7,1,0.20,P1-首单复购引导+配套推荐+专属客服跟进
