user_id,gender,city,segment_operation
U000003,Male,Curtisfurt,核心高价值忠诚用户
U000010,Male,Jamesmouth,流失低潜
U000019,Male,South Jessicaville,唤醒普通
U000022,Other,Mitchellside,流失低潜
U000031,Female,New Barry,流失低潜
U000037,Male,Reedmouth,唤醒普通
U000038,Other,West Ryan,流失可弃
U000044,Female,Robinsonhaven,普通新客
U000066,Male,Garciatown,普通新客
U000078,Female,Cindyfort,高潜新客
U000082,Female,Sarahhaven,至尊VIP
U000083,Female,Reedside,流失低潜
U000085,Other,South Tammie,至尊VIP
U000086,Female,Smithberg,唤醒普通
U000087,Other,Santosmouth,流失低潜
U000097,Male,Coffeyport,至尊VIP
U000102,Other,Penafort,唤醒普通
U000107,Male,South Shanestad,唤醒普通
U000111,Female,Mariafurt,流失低潜
U000123,Female,Richardbury,流失低潜
U000127,Male,Laurashire,唤醒普通
U000137,Female,West Erika,普通新客
U000141,Female,Laceyberg,普通新客
U000149,Female,Sarahhaven,唤醒普通
U000154,Other,Lake Danastad,唤醒普通
U000156,Other,Hinesshire,流失可弃
U000160,Other,Port Michael,流失低潜
U000161,Other,Tannerside,唤醒高潜
U000166,Other,Meganshire,唤醒普通
U000167,Female,South Pamelaside,流失低潜
U000168,Male,East Scottfort,流失低潜
U000169,Female,Zacharyville,流失低潜
U000172,Female,Brandonport,唤醒普通
U000180,Male,South Warren,流失可弃
U000183,Other,Annview,至尊VIP
U000188,Female,East Robertburgh,唤醒高潜
U000192,Male,Morrisbury,核心高价值忠诚用户
U000204,Male,North Craig,普通新客
U000215,Male,South Ashley,流失可弃
U000217,Other,Port Adamberg,至尊VIP
U000218,Other,Hopkinstown,普通新客
U000219,Female,Drakeburgh,唤醒普通
U000220,Male,Lauraland,流失低潜
U000232,Other,Sherylfort,普通新客
U000242,Male,Matthewborough,流失低潜
U000245,Male,South Brittany,至尊VIP
U000250,Male,West Megan,流失可弃
U000253,Female,West Kimberlystad,流失低潜
U000255,Other,Port Joan,唤醒普通
U000261,Other,Melissaside,唤醒普通
U000264,Other,Erikview,活跃复购潜力用户
U000276,Female,East Christopherchester,流失低潜
U000299,Female,North Paula,活跃复购潜力用户
U000302,Female,New Stacy,唤醒普通
U000303,Other,New Jeffery,普通新客
U000307,Other,East Carriebury,唤醒普通
U000309,Male,West Jonathanville,唤醒普通
U000311,Male,Andrewview,流失可弃
U000317,Male,Anneberg,流失低潜
U000321,Female,Luisland,流失高潜用户
U000322,Female,Rodriguezberg,流失高潜用户
U000323,Female,Mikaylastad,流失可弃
U000332,Male,East Johnnyport,流失低潜
U000337,Other,Jessicabury,流失低潜
U000338,Other,Connorberg,普通新客
U000367,Male,Port Jennifer,唤醒普通
U000368,Female,Summersborough,唤醒高潜
U000371,Other,West Raymond,普通新客
U000372,Other,Meganside,唤醒普通
U000375,Male,East Josephburgh,流失高潜用户
U000379,Male,West Shane,高潜新客
U000384,Other,Moonville,流失低潜
U000386,Female,Port Gina,至尊VIP
U000391,Other,West Erica,唤醒普通
U000394,Male,Newmanland,流失低潜
U000396,Male,Lindseychester,唤醒普通
U000397,Other,Nataliemouth,流失可弃
U000412,Other,Serranoville,流失低潜
U000429,Male,Jefferyshire,唤醒普通
U000435,Female,Haynesstad,唤醒普通
U000436,Other,Lindaside,至尊VIP
U000437,Female,Taylorhaven,流失可弃
U000441,Other,Stevenberg,流失低潜
U000455,Female,Steventon,流失低潜
U000458,Male,West Timothyport,至尊VIP
U000471,Female,Port Daniellestad,流失低潜
U000475,Male,Port Lynnview,流失低潜
U000494,Female,East Denise,至尊VIP
U000514,Male,Taylorview,活跃复购潜力用户
U000522,Other,Marymouth,流失低潜
U000524,Other,Gregorystad,流失低潜
U000530,Male,East Charles,流失低潜
U000533,Male,Davisport,唤醒普通
U000535,Other,West Timothyburgh,流失低潜
U000539,Female,Angelamouth,流失可弃
U000540,Female,Troyton,流失低潜
U000542,Other,Veronicashire,流失低潜
U000545,Other,Maryberg,流失高潜用户
U000546,Male,Barrettberg,至尊VIP
U000562,Male,Jamestown,流失低潜
U000564,Female,Stevenland,唤醒普通
U000567,Other,South Jenniferville,至尊VIP
U000568,Male,North Elizabethview,流失低潜
U000571,Other,Deborahburgh,流失低潜
U000594,Female,Hodgeshire,普通新客
U000597,Female,Harveystad,唤醒普通
U000605,Other,Lake Amanda,唤醒普通
U000606,Male,South Jorge,流失低潜
U000607,Other,New Kevin,唤醒普通
U000623,Male,North Jeffery,流失高潜用户
U000625,Male,East Davidberg,普通新客
U000628,Male,Port Julie,唤醒普通
U000631,Male,South Daniel,唤醒普通
U000636,Male,Katelynfurt,流失可弃
U000642,Male,South Joseshire,流失可弃
U000651,Other,Lewismouth,流失可弃
U000669,Other,Waltershire,流失低潜
U000671,Other,North Jenniferchester,流失低潜
U000676,Female,North Jonfurt,流失低潜
U000677,Female,Conradmouth,普通新客
U000685,Female,Marcuston,流失低潜
U000687,Male,Rebeccaberg,唤醒普通
U000688,Other,Annachester,流失低潜
U000695,Male,Meltonfort,唤醒高潜
U000705,Female,North Michaelview,流失可弃
U000713,Female,Brownton,流失高潜用户
U000716,Other,Roweport,流失低潜
U000728,Other,Contrerasberg,普通新客
U000731,Male,North Joshua,普通新客
U000732,Female,Richardton,唤醒普通
U000747,Other,East Tina,流失可弃
U000753,Other,Rosariobury,流失可弃
U000763,Female,Jaimefort,唤醒普通
U000765,Male,Lake Jerry,唤醒普通
U000767,Female,Bradleytown,流失可弃
U000774,Female,Biancashire,唤醒普通
U000778,Male,Port Joshuabury,至尊VIP
U000779,Female,Julieview,流失低潜
U000782,Male,South Kayla,普通新客
U000784,Male,Marktown,唤醒高潜
U000788,Male,Mooreville,流失低潜
U000793,Female,South Hollyton,流失低潜
U000795,Male,Jamesfurt,流失高潜用户
U000797,Male,Port Andrew,流失低潜
U000801,Female,Lake Gary,唤醒高潜
U000803,Other,Lake Lisastad,流失可弃
U000809,Female,Port Jessica,流失低潜
U000811,Other,East Christopher,唤醒普通
U000815,Other,Torresport,唤醒普通
U000817,Female,Dyerville,普通新客
U000823,Other,Smithland,唤醒普通
U000824,Male,Lake Dennis,普通新客
U000827,Female,North Jasontown,唤醒普通
U000833,Female,Carterborough,唤醒普通
U000840,Other,New Elizabeth,流失低潜
U000846,Female,Port Sarahport,普通新客
U000856,Other,North Tinahaven,唤醒普通
U000861,Female,South Lorraine,普通新客
U000875,Other,Gonzalezhaven,流失可弃
U000878,Male,Mannington,流失低潜
U000879,Female,West Karen,流失可弃
U000889,Other,East Janet,唤醒普通
U000906,Female,New Oliviachester,唤醒普通
U000909,Male,Carolchester,唤醒高潜
U000912,Female,Luischester,流失低潜
U000916,Other,North Suzanne,流失低潜
U000918,Female,Port Ian,流失低潜
U000921,Other,Spenceberg,普通新客
U000927,Female,New Lindseyberg,唤醒普通
U000930,Female,Allenland,唤醒普通
U000932,Female,Scottfort,至尊VIP
U000936,Male,Sawyerland,唤醒普通
U000938,Male,West Shawnside,流失低潜
U000941,Other,Port Brian,至尊VIP
U000968,Female,Brendaport,唤醒普通
U000975,Other,Cummingsview,流失低潜
U000979,Female,East Brandy,唤醒普通
U000983,Female,Port William,流失可弃
U000985,Male,East Allenmouth,流失可弃
U000986,Male,West Ryanberg,至尊VIP
U000998,Male,West Renee,流失低潜
U001006,Male,East Alishamouth,流失低潜
U001008,Female,Brianfurt,流失低潜
U001010,Female,Lake Jamieberg,流失可弃
U001016,Other,Austinmouth,唤醒高潜
U001018,Other,Stephenberg,流失低潜
U001021,Male,Morrisbury,流失高潜用户
U001024,Female,Jeremiahburgh,流失低潜
U001032,Male,West Tinachester,唤醒高潜
U001044,Female,Sandraview,流失低潜
U001050,Female,Whiteview,唤醒普通
U001052,Other,Theresatown,唤醒高潜
U001054,Male,North Mark,唤醒高潜
U001061,Female,New Jorge,唤醒普通
U001067,Other,East Kennethmouth,流失可弃
U001068,Other,East Bobby,流失低潜
U001078,Female,Lake Michael,流失低潜
U001079,Other,Harperside,唤醒普通
U001090,Female,West Joshuaborough,唤醒普通
U001094,Other,North Donald,流失低潜
U001098,Other,South Tylerhaven,唤醒普通
U001099,Female,Jenniferview,唤醒普通
U001101,Male,West Robertberg,唤醒普通
U001117,Female,East Mandyhaven,流失可弃
U001123,Female,Port Brendaberg,唤醒普通
U001131,Female,Fostermouth,流失低潜
U001132,Male,Davisbury,流失可弃
U001137,Female,Larryfort,普通新客
U001138,Other,Drakestad,流失低潜
U001142,Female,South Juanville,唤醒高潜
U001144,Male,Wrightland,流失低潜
U001145,Male,Barkerbury,流失可弃
U001163,Other,West Calvin,流失低潜
U001170,Male,Ashleyton,唤醒普通
U001175,Male,West Charlotte,流失低潜
U001180,Female,East Timothymouth,普通新客
U001181,Other,Callahanville,唤醒普通
U001182,Female,Travisburgh,唤醒普通
U001192,Male,Wattsfort,高潜新客
U001193,Female,Samuelport,唤醒普通
U001202,Female,Patriciashire,普通新客
U001204,Female,East Kelsey,流失高潜用户
U001205,Male,South Brandon,唤醒普通
U001210,Other,Farmerton,流失低潜
U001225,Other,Lake Julie,普通新客
U001229,Male,Port Robertberg,高潜新客
U001245,Other,East Clarencefurt,流失可弃
U001254,Male,Padillaberg,唤醒普通
U001256,Other,New Brycechester,流失可弃
U001266,Male,Brianfort,流失可弃
U001269,Other,Torresport,流失可弃
U001271,Female,Rodgershaven,流失低潜
U001277,Other,Jonesside,流失低潜
U001288,Other,South Lindaberg,流失低潜
U001293,Other,South Andrew,唤醒高潜
U001303,Male,Tinatown,流失低潜
U001309,Male,Welchmouth,流失高潜用户
U001311,Male,South Lisa,普通新客
U001316,Other,New Josemouth,唤醒普通
U001325,Female,Haleymouth,普通新客
U001337,Other,Port Michaelstad,唤醒普通
U001341,Other,Johnsonchester,流失可弃
U001351,Other,Lake Julietown,高潜新客
U001356,Female,Hooverside,流失低潜
U001357,Male,New Richard,普通新客
U001360,Female,Port Heather,普通新客
U001363,Other,Lake Aaron,普通新客
U001368,Female,Barkerstad,流失可弃
U001373,Male,Tuckertown,唤醒普通
U001377,Female,North Fernandoshire,流失低潜
U001381,Other,East Elizabethhaven,唤醒普通
U001383,Other,Peterbury,唤醒高潜
U001394,Male,Port Chadville,普通新客
U001397,Female,Lisaville,普通新客
U001398,Other,Danielbury,流失低潜
U001408,Male,East Andre,流失低潜
U001423,Other,Douglasborough,普通新客
U001424,Female,South Ashley,流失可弃
U001431,Female,Port Leeton,流失低潜
U001432,Female,West Joefort,核心高价值忠诚用户
U001434,Other,Vasquezland,流失低潜
U001435,Other,East Kellystad,普通新客
U001438,Female,South Catherineport,流失低潜
U001440,Female,Lake Eric,唤醒普通
U001454,Female,Gregoryborough,流失低潜
U001455,Other,Garyport,流失可弃
U001465,Male,Elizabethberg,至尊VIP
U001470,Female,North Patriciaton,流失可弃
U001471,Female,Garyshire,普通新客
U001474,Other,Beltranchester,至尊VIP
U001476,Other,Lake Johnton,唤醒普通
U001492,Male,New David,唤醒高潜
U001502,Female,Fostershire,流失高潜用户
U001509,Male,New Elizabeth,高潜新客
U001512,Other,Hernandezview,流失低潜
U001530,Other,Port Carla,唤醒普通
U001537,Male,Port Veronica,唤醒普通
U001544,Male,Wangshire,唤醒普通
U001550,Male,Petersonside,普通新客
U001551,Male,Claytonside,唤醒普通
U001554,Other,South Karen,流失低潜
U001565,Other,Brandonfurt,活跃复购潜力用户
U001570,Other,South Kristenshire,流失低潜
U001572,Female,North Donna,唤醒普通
U001579,Female,North Sarah,唤醒普通
U001585,Male,Jacobbury,高潜新客
U001594,Other,New Josephberg,高潜新客
U001604,Other,Colemouth,高潜新客
U001609,Male,Juliestad,流失低潜
U001614,Male,Joelside,流失可弃
U001626,Female,North Jared,流失可弃
U001627,Female,North Darius,流失低潜
U001628,Other,North Christinaton,唤醒普通
U001644,Other,Taraview,流失低潜
U001653,Female,South Justin,唤醒普通
U001660,Female,Samueltown,流失可弃
U001666,Male,Milesport,流失低潜
U001668,Female,Port Crystal,唤醒高潜
U001679,Other,North Davidberg,高潜新客
U001687,Other,Jackieton,至尊VIP
U001695,Female,West Tonya,普通新客
U001698,Male,South Samuelfurt,流失低潜
U001703,Male,Jonathanstad,唤醒普通
U001708,Male,East Marie,至尊VIP
U001713,Female,New Keith,唤醒普通
U001714,Female,East Leslie,流失低潜
U001719,Other,Barnesborough,唤醒高潜
U001722,Other,Mosleytown,唤醒高潜
U001731,Female,New Frank,唤醒普通
U001736,Other,Erintown,流失低潜
U001739,Female,New Laurahaven,至尊VIP
U001741,Other,Staffordborough,唤醒普通
U001746,Female,Christopherfurt,唤醒普通
U001759,Male,South Vincent,活跃复购潜力用户
U001762,Male,Whiteville,至尊VIP
U001782,Male,South Felicialand,普通新客
U001799,Male,West Kimberly,流失低潜
U001802,Female,New Debbieville,流失低潜
U001804,Other,Greenfort,唤醒普通
U001810,Male,North James,流失低潜
U001817,Female,Lake Christopher,高潜新客
U001824,Male,New Kristenfurt,普通新客
U001836,Male,South Lisafurt,唤醒普通
U001838,Male,South Scott,流失低潜
U001839,Female,North Heather,普通新客
U001840,Male,Craigchester,唤醒普通
U001853,Other,North Michaela,流失高潜用户
U001857,Other,East Jeremystad,普通新客
U001864,Female,Olsenchester,流失低潜
U001871,Female,Port Crystalbury,流失低潜
U001881,Male,Lake Ricky,流失可弃
U001882,Other,Cindytown,高潜新客
U001885,Other,Nicholsfurt,唤醒普通
U001886,Other,South Kyleport,唤醒普通
U001890,Other,West Jessicahaven,唤醒普通
U001893,Female,Lake Evan,普通新客
U001909,Other,South Stevenport,流失可弃
U001915,Female,Lake Michaelfurt,唤醒普通
U001919,Male,Hillmouth,唤醒普通
U001925,Female,North Sarah,流失低潜
U001926,Other,Bartonside,至尊VIP
U001927,Other,Donaldmouth,唤醒普通
U001956,Other,Johnton,流失可弃
U001973,Female,Lake Peter,活跃复购潜力用户
U001974,Other,Lauraburgh,流失低潜
U001976,Male,Bensonburgh,流失低潜
U001977,Female,Barrychester,普通新客
U001988,Female,East Lindaside,流失低潜
U001992,Other,Port James,至尊VIP
U002001,Male,Heathermouth,流失低潜
U002002,Male,Lindatown,流失低潜
U002004,Other,North Brianberg,唤醒普通
U002011,Female,East Tonya,流失低潜
U002012,Other,Lake Rebeccaside,普通新客
U002015,Female,West Jimmy,流失可弃
U002020,Male,East Lawrence,唤醒普通
U002021,Other,North Edward,流失低潜
U002026,Female,Jamesview,唤醒普通
U002028,Other,North Yvonne,流失低潜
U002032,Female,Lake Davidborough,流失低潜
U002040,Female,Lake Darrellchester,流失低潜
U002047,Other,Wrightmouth,普通新客
U002049,Male,Ericton,流失低潜
U002050,Female,Ryanstad,唤醒普通
U002053,Female,Loriport,唤醒普通
U002075,Male,Cindyshire,普通新客
U002080,Male,New Nicolebury,流失低潜
U002082,Female,Andersonside,流失低潜
U002088,Female,Martinezbury,唤醒普通
U002089,Other,East Janet,流失低潜
U002102,Female,Leeland,唤醒高潜
U002104,Female,South Melissa,至尊VIP
U002115,Other,South Anita,唤醒普通
U002123,Male,West Theresastad,流失低潜
U002125,Female,New Sarahburgh,普通新客
U002128,Female,Archertown,唤醒普通
U002136,Other,North Christina,流失可弃
U002139,Other,Lake Daniel,唤醒普通
U002142,Other,Mooreberg,至尊VIP
U002149,Female,East Stephen,普通新客
U002150,Female,New Nicholas,流失可弃
U002152,Other,Erinbury,唤醒普通
U002157,Male,Fryshire,流失可弃
U002162,Other,Spearsberg,普通新客
U002166,Male,New Sarahchester,唤醒普通
U002171,Male,North Dwayne,唤醒普通
U002172,Other,South Billy,唤醒普通
U002182,Male,Morrismouth,唤醒普通
U002183,Female,West Jennifer,唤醒普通
U002184,Male,Port Kaylachester,流失低潜
U002192,Other,East Kaitlynland,流失低潜
U002199,Female,Heathermouth,唤醒普通
U002200,Male,Alyssaport,流失低潜
U002203,Female,East Jamesland,唤醒普通
U002204,Male,South Tylerville,唤醒普通
U002205,Female,East Johnmouth,唤醒普通
U002237,Other,North Robertstad,流失低潜
U002240,Other,Reyesview,唤醒高潜
U002248,Female,New John,流失低潜
U002252,Male,Rojashaven,流失低潜
U002258,Other,South Jenny,流失低潜
U002259,Other,Sheltonshire,流失可弃
U002260,Male,Brownside,流失低潜
U002271,Female,Lake Meganmouth,唤醒普通
U002279,Female,Hallhaven,核心高价值忠诚用户
U002283,Male,Amyland,唤醒普通
U002288,Female,Mannburgh,至尊VIP
U002291,Female,Stantonside,流失低潜
U002301,Male,New Jameshaven,至尊VIP
U002304,Other,Davidmouth,至尊VIP
U002310,Female,North Nathan,流失低潜
U002311,Male,Amandaborough,唤醒普通
U002312,Male,East John,唤醒普通
U002313,Male,Evansport,高潜新客
U002321,Female,Dakotafort,流失低潜
U002334,Other,Amandaville,唤醒普通
U002336,Female,Port Angelport,流失高潜用户
U002346,Other,South Candicechester,唤醒普通
U002362,Female,New Benjamin,普通新客
U002370,Female,Heathburgh,流失低潜
U002372,Other,Port Raymond,唤醒普通
U002376,Other,South Ericfort,至尊VIP
U002377,Other,North Michael,至尊VIP
U002382,Male,Michaelport,唤醒普通
U002383,Male,East Julia,流失可弃
U002388,Male,South Timothyside,唤醒普通
U002397,Male,Maddenview,流失可弃
U002417,Other,Merritthaven,唤醒普通
U002421,Male,New Mike,唤醒普通
U002427,Other,South Laura,流失低潜
U002429,Other,Solomonberg,高潜新客
U002430,Female,Lake Tamara,流失低潜
U002431,Other,Michaelshire,流失可弃
U002432,Other,Russellton,唤醒普通
U002436,Other,North Rebeccamouth,流失可弃
U002437,Female,North Williamberg,流失低潜
U002443,Female,Elizabethfurt,唤醒普通
U002446,Male,New Lorishire,至尊VIP
U002465,Female,Stanleystad,唤醒高潜
U002477,Male,Lake Tracy,流失低潜
U002478,Male,North Robertmouth,普通新客
U002484,Male,New Jesseville,普通新客
U002485,Female,Halechester,流失可弃
U002486,Other,Paulberg,唤醒普通
U002499,Female,Derrickhaven,普通新客
U002508,Female,Burkemouth,至尊VIP
U002511,Other,Christopherville,流失低潜
U002527,Male,North Ryanfort,唤醒普通
U002529,Other,Carlsonchester,唤醒普通
U002533,Female,South Emily,流失低潜
U002546,Female,Johnstad,流失低潜
U002558,Male,Markmouth,高潜新客
U002577,Female,Wallacemouth,流失可弃
U002578,Other,Christinaport,普通新客
U002587,Female,Simmonsport,流失低潜
U002603,Other,East Bryanmouth,普通新客
U002609,Other,Hendrixfurt,唤醒普通
U002617,Male,Alexanderstad,唤醒普通
U002618,Other,Lake Bethanyview,普通新客
U002621,Other,North Victoriaborough,流失可弃
U002628,Female,East Nathaniel,流失可弃
U002635,Other,Alexanderchester,普通新客
U002641,Male,South Blake,流失低潜
U002661,Other,Jenniferfurt,唤醒高潜
U002662,Female,Christinatown,至尊VIP
U002677,Female,Lake Brittanymouth,普通新客
U002683,Female,North Jeremy,流失低潜
U002685,Male,New Jenniferfort,唤醒普通
U002696,Other,Marshallchester,流失可弃
U002704,Male,Smithchester,高潜新客
U002705,Male,Caseyfort,流失低潜
U002711,Male,Christopherhaven,流失低潜
U002716,Male,Annchester,流失低潜
U002722,Other,Richardberg,流失低潜
U002725,Male,South Amanda,流失可弃
U002731,Other,Port Stevenmouth,流失高潜用户
U002733,Male,Lunabury,唤醒普通
U002747,Male,Louiston,流失低潜
U002753,Other,East Michael,流失低潜
U002757,Male,Rebeccastad,唤醒普通
U002768,Other,Mooreborough,流失可弃
U002773,Other,Clarkberg,唤醒普通
U002777,Male,Lake Annaside,唤醒普通
U002780,Female,Danielshire,至尊VIP
U002788,Female,Bobland,唤醒普通
U002814,Male,West Michaelville,至尊VIP
U002818,Female,West Marco,流失低潜
U002822,Other,Port Erinside,唤醒普通
U002832,Other,Loganstad,唤醒普通
U002834,Female,South Gary,流失高潜用户
U002841,Female,New Steven,普通新客
U002845,Female,Michaelland,流失可弃
U002847,Other,East John,唤醒高潜
U002849,Male,Port Catherinechester,流失低潜
U002855,Other,West Wesleyside,流失可弃
U002856,Female,Tylerfurt,唤醒高潜
U002859,Other,Lake Katherinefort,流失低潜
U002862,Other,North Jeanne,流失可弃
U002864,Male,Donnaburgh,活跃复购潜力用户
U002866,Other,Peterville,流失可弃
U002870,Other,Christinaport,流失低潜
U002878,Other,Davidside,唤醒高潜
U002880,Other,West Brooke,流失低潜
U002882,Male,North Robertfort,流失可弃
U002885,Other,Lake Jennifer,活跃复购潜力用户
U002897,Female,Cherryside,流失可弃
U002898,Male,Lake Nicole,唤醒普通
U002912,Male,North Christopher,唤醒普通
U002919,Female,Seanview,流失低潜
U002921,Male,Laurenland,流失低潜
U002923,Male,Heatherside,唤醒普通
U002925,Female,Morseside,唤醒高潜
U002928,Female,Rogerston,唤醒普通
U002930,Male,East Joshuaville,唤醒普通
U002935,Female,Lake David,流失低潜
U002937,Female,East Amytown,流失低潜
U002938,Female,Butlermouth,唤醒普通
U002946,Female,Lake Adrianburgh,流失低潜
U002953,Other,Juliechester,核心高价值忠诚用户
U002956,Male,Gutierrezside,唤醒普通
U002960,Other,Jonesmouth,高潜新客
U002972,Other,East Tristanport,唤醒高潜
U002980,Male,Chavezberg,唤醒普通
U002995,Male,New Daniel,唤醒高潜
U003009,Female,Stevenport,流失可弃
U003019,Male,Taraburgh,流失低潜
U003030,Female,East Samuelburgh,唤醒普通
U003046,Male,Littleton,普通新客
U003050,Female,Kristinport,流失可弃
U003051,Male,Robinsonton,高潜新客
U003052,Other,Powersbury,流失低潜
U003060,Female,Ramosshire,流失低潜
U003062,Female,New Michelleshire,唤醒普通
U003073,Female,Port Sarah,流失可弃
U003080,Other,Port Elizabeth,流失低潜
U003086,Male,Ashleestad,流失低潜
U003088,Female,South Jonathanview,流失低潜
U003092,Other,New Lindsay,唤醒普通
U003094,Other,Webbton,唤醒普通
U003095,Female,East Bryanstad,唤醒普通
U003100,Male,Sabrinabury,流失可弃
U003103,Other,East Travisshire,唤醒普通
U003124,Female,South Jose,普通新客
U003127,Male,Tinachester,至尊VIP
U003140,Female,Pollardview,唤醒普通
U003142,Female,Harrisburgh,唤醒普通
U003146,Other,Riosfurt,流失低潜
U003159,Female,Sergiostad,普通新客
U003161,Male,South Christopherside,唤醒普通
U003164,Female,Kirkstad,流失可弃
U003168,Male,Laraview,流失可弃
U003172,Other,East Michael,唤醒普通
U003177,Other,Scottfort,唤醒普通
U003182,Male,Garciamouth,流失低潜
U003183,Male,New Ashleyview,流失低潜
U003188,Other,Ashleychester,流失低潜
U003190,Other,Bakertown,流失低潜
U003196,Male,East Peter,唤醒普通
U003204,Female,Port Troy,流失低潜
U003207,Male,East Christina,唤醒普通
U003208,Other,Kathyshire,流失低潜
U003209,Other,Port Don,至尊VIP
U003221,Female,New Josephmouth,普通新客
U003223,Female,West Sheritown,流失可弃
U003227,Female,Williamchester,唤醒普通
U003229,Other,Pierceton,至尊VIP
U003230,Male,Port Patrickborough,流失低潜
U003233,Female,Roberthaven,流失低潜
U003234,Other,Caseyland,唤醒普通
U003237,Other,Hickmanton,流失高潜用户
U003242,Female,South Karl,流失高潜用户
U003247,Male,South Mary,至尊VIP
U003254,Female,Lopezside,流失可弃
U003255,Other,Hayesbury,唤醒高潜
U003263,Female,Ginamouth,普通新客
U003264,Female,Normanshire,唤醒普通
U003268,Female,Markfurt,流失可弃
U003269,Other,North Kevinfort,唤醒普通
U003273,Male,Mckenzieburgh,流失高潜用户
U003276,Male,Thomaston,唤醒高潜
U003277,Other,South Belindastad,唤醒普通
U003284,Other,New David,唤醒普通
U003286,Other,Powellport,流失可弃
U003287,Female,Bryantmouth,唤醒普通
U003289,Other,North Michael,流失高潜用户
U003295,Other,North Haileyfort,普通新客
U003306,Other,Jimenezmouth,流失可弃
U003307,Other,Port Matthewtown,流失低潜
U003310,Female,Harmonmouth,普通新客
U003314,Female,New Ericland,唤醒普通
U003316,Male,Atkinstown,唤醒普通
U003319,Female,North Jennifer,核心高价值忠诚用户
U003321,Male,Espinozamouth,流失低潜
U003326,Male,New Daniel,流失低潜
U003329,Male,Jacobstad,流失可弃
U003335,Female,Port Alexisville,至尊VIP
U003344,Male,Lake Richard,流失可弃
U003345,Male,Frankchester,唤醒普通
U003353,Male,Bakershire,流失低潜
U003360,Male,Stacieberg,流失低潜
U003361,Male,Ashleyview,唤醒普通
U003364,Other,Hughesmouth,流失低潜
U003370,Male,Shermanland,流失低潜
